,match_id,total,date,year,gender,domain,title
47,24495,"Lakota East 2197, Monroe 1615",2008-12-22,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
48,24521,"Middletown 2209, Lebanon 1605",2008-12-30,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
49,22253,"Sycamore 1876, Anderson 1776",2009-01-05,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
50,22252,"Badin 1903, Hamilton 1638",2009-01-05,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
51,22254,"Fairfield 2265, Seton 2191",2009-01-05,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
52,22255,"Lakota East 2086, Lakota West 1830",2009-01-05,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
53,22256,"Mason 1922, Sycamore 1807",2009-01-06,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
54,22257,"Oak Hills 2220, Hamilton 1516",2009-01-06,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
55,22259,"Middletown 2425, Colerain 1931",2009-01-07,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
56,24531,"Princeton 2222, Hamilton 1591",2009-01-08,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
57,22261,"Sycamore 1905, Hamilton 1475",2009-01-12,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
58,23962,"Colerain 2046, North College Hill 1494",2009-01-12,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
59,24498,"Fairfield 2389, Princeton 2267",2009-01-12,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
60,22263,"Princeton 2390, Middletown 2219",2009-01-13,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
61,23963,"Colerain 2205, Roger Bacon 2021",2009-01-13,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
62,22264,"Lakota West 2059, Mason 1932",2009-01-13,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
63,24732,"Lakota West 1560, North College Hill 1446",2009-01-14,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
64,22266,"Oak Hills 2243, Fairfield 2234",2009-01-14,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
65,22268,"Mt. Notre Dame 2180, Mason 1942",2009-01-15,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
66,23206,"Princeton 2335, North College Hill 1681",2009-01-15,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
67,22300,Northwest at Oak Hills **score not reported**,2009-01-15,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
68,22269,"Middletown 2034, West Carrollton 1491",2009-01-19,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
69,22274,"Lakota West 1882, Hamilton 1849",2009-01-20,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
70,23964,"Seton 2514, Colerain 1811",2009-01-20,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
71,22273,"Middletown 2463, Lakota East 2147",2009-01-20,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
72,22271,"Princeton 2249, Oak Hills 2067",2009-01-20,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
73,22275,"Fairfield 2360, Sycamore 2046",2009-01-21,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
74,22297,"McAuley 2664, Fairfield 2407",2009-01-22,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
75,22301,Seton at Oak Hills **score not reported**,2009-01-22,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
76,22223,"Sycamore 1760, Lakota West 1646",2009-01-22,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
77,22276,"Princeton 2083, Roger Bacon 1668",2009-01-22,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
78,22277,"Colerain 1955, Mason 1901",2009-01-23,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
79,22278,"Lakota East 1936, Mason 1926",2009-01-26,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
80,22908,"Sycamore 2055, Little Miami 1688",2009-01-26,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
81,22286,"Withrow 1617, Hamilton 1455",2009-01-26,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
82,22279,"Fairfield 2290, Lakota West 1917",2009-01-26,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
83,22285,"Mercy 2218, Sycamore 2006",2009-01-29,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
84,22287,"Fairfield 2369, Colerain 1880",2009-02-02,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
85,22290,"Middletown 2446, Mason 1999",2009-02-03,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
86,22289,"Lakota East 1937, Hamilton 1404",2009-02-03,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
87,22291,"Oak Hills 2208, Sycamore 2054",2009-02-04,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
88,22293,"Mt. Notre Dame 2261, Fairfield 2176",2009-02-05,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
89,22292,"Princeton 2237, Winton Woods 2048",2009-02-05,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
90,22265,"Colerain 2018, Lakota East 1989",2009-02-05,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
91,22283,"Colerain 1517, Hamilton 1457",2009-02-06,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
92,25013,"Oak Hills 2290, Middletown 2217",2009-02-09,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
93,25187,"Lakota East 1829, Roger Bacon 1694",2009-02-09,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
94,23965,"McAuley 2335, Colerain 1863",2009-02-09,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
95,23092,"MND 2247, Sycamore 1961",2009-02-10,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
96,22298,"Princeton 2163, Lakota West 1574",2009-02-10,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
97,25206,"Mason 1872, kings 1594",2009-02-12,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
98,25033,"Princeton 2376, Sycamore 2145",2009-02-12,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
99,25391,Colerain at Sectionals ,2009-02-20,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
100,25393,Colerain at District ,2009-02-28,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
101,22760,"Amelia 1749, McNicholas 1690",2008-11-24,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
102,25000,"McAuley 2226, Mt.Healthy 1822",2008-11-25,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
103,23212,"Mount Notre Dame 2256, Walnut Hills 1778",2008-11-25,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
104,22761,"Glen Este 2272, McNicholas 1992",2008-11-25,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
105,23807,"Mount Notre Dame 2052, St. Ursula 1609",2008-12-01,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
106,23388,"Mercy 2194, Harrison 2084",2008-12-01,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
107,22719,"Carroll 2106, McNicholas 1807",2008-12-02,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
108,22746,"Purcell Marian 1769, Fenwick 1752",2008-12-02,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
109,22750,"McAuley 2159, Ursuline 1619",2008-12-02,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
110,22736,"Roger Bacon 1918, Chaminade-Julienne 1643",2008-12-02,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
111,22695,"Badin 1901, Alter 1358",2008-12-02,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
112,22766,"Mercy 2375, Seton 2289",2008-12-02,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
113,22706,"Chaminade-Julienne 2002, Badin 1995",2008-12-04,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
114,22720,"Carroll 2236, Purcell Marian 1589",2008-12-04,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
115,22751,"Seton 2618, McAuley 2466",2008-12-04,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
116,22696,"Roger Bacon 1944, Alter 1459",2008-12-04,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
117,22775,"Mount Notre Dame 2134, Ursuline 1755",2008-12-04,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
118,22767,"Mercy 2071, St. Ursula 1784",2008-12-04,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
119,22721,Carroll at Kick-Off Tournament ,2008-12-06,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
120,23213,Seton at Kick-Off Tournament ,2008-12-06,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
121,23208,Mount Notre Dame at Big Blue Challenge ,2008-12-07,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
122,23207,Roger Bacon at Big Blue Challenge ,2008-12-07,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
123,22722,"Carroll 2310, Fenwick 1755",2008-12-08,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
124,22791,"Mercy 2103, Roger Bacon 1856",2008-12-08,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
125,23406,"Colerain 1968, Ursuline 1662",2008-12-08,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
126,22707,"Badin 1912, Purcell Marian 1528",2008-12-09,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
127,22752,"Mercy 2359, McAuley 2141",2008-12-09,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
128,22697,"Chaminade-Julienne 2004, Alter 1427",2008-12-09,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
129,22797,"Ursuline 1614, St. Ursula 1524",2008-12-09,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
130,22765,"McNicholas 1774, Roger Bacon 1749",2008-12-09,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
131,22776,"Seton 2334, Mount Notre Dame 1978",2008-12-09,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
132,22754,"McAuley 2444, Mount Notre Dame 2180",2008-12-10,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
133,22747,"McNicholas 1725, Fenwick 1662",2008-12-10,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
134,22723,"Carroll 2379, Lemon Monroe 1911",2008-12-10,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
135,23175,"Greenville 1851, Alter 1486",2008-12-10,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
136,23390,"Mercy 2394, Oak Hills 2298",2008-12-10,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
137,23214,"Seton 2486, Winton Woods 1757",2008-12-11,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
138,22737,"Chaminade-Julienne 1736, Northmont 1551",2008-12-11,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
139,22708,"Northwest 2620, Badin 2021",2008-12-11,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
140,24277,McAuley at Holiday Classic ,2008-12-13,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
141,24278,Mount Notre Dame at Holiday Classic ,2008-12-13,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
142,23397,St. Ursula at Holiday Classic ,2008-12-13,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
143,24276,Chaminade-Julienne at Holiday Classic ,2008-12-13,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
144,24274,Carroll at Holiday Classic ,2008-12-13,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
145,24279,Roger Bacon at Holiday Classic ,2008-12-13,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
146,24275,Badin at Holiday Classic ,2008-12-13,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
147,23391,Mercy at Holiday Classic ,2008-12-13,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
148,23215,Seton at Holiday Classic ,2008-12-13,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
149,22784,"Harrison 2087, Roger Bacon 1689",2008-12-15,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
150,23176,"Miamisburg 1909, Alter 1175",2008-12-15,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
151,23197,"Purcell Marian 1718, Summit 1604",2008-12-15,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
152,24270,"Withrow 1410, St. Ursula 1405",2008-12-15,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
153,23189,"McAuley 2428, North College Hill 1431",2008-12-15,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
154,23216,"Seton 2327, Mason 2013",2008-12-15,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
155,22699,"Fenwick 1599, Alter 1332",2008-12-17,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
156,22769,"Mercy 2411, Ursuline 1855",2008-12-18,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
157,22794,"Seton 2433, St. Ursula 1698",2008-12-18,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
158,22762,"McNicholas 1812, Purcell Marian 1647",2008-12-18,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
159,22711,"Badin 2272, Roger Bacon 1930",2008-12-18,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
160,22726,"Carroll 2382, Chaminade-Julienne 2052",2008-12-18,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
161,24490,"Fenwick 1459, Franklin 1398",2008-12-19,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
162,23177,"Alter 1533, Franklin 1504",2008-12-22,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
163,24503,Fenwick at Middletown City Tournament ,2008-12-30,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
164,24505,Carroll at Buckeye High School Classic ,2009-01-04,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
165,23217,"Fairfield 2265, Seton 2191",2009-01-05,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
166,22700,"Carroll 2169, Alter 1548",2009-01-05,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
167,22712,"Badin 1903, Hamilton 1638",2009-01-05,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
168,22770,"Mercy 2414, Ursuline 1668",2009-01-06,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
169,22795,"Seton 2271, St. Ursula 1835",2009-01-06,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
170,22755,"Mount Notre Dame 2242, McAuley 2139",2009-01-06,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
171,22780,"Roger Bacon 2041, Purcell Marian 1778",2009-01-06,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
172,22739,"Chaminade-Julienne 1991, Fenwick 1802",2009-01-06,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
173,22713,"Badin 1963, McNicholas 1737",2009-01-06,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
174,22785,"Roger Bacon 2147, McNicholas 1644",2009-01-08,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
175,22777,"Mount Notre Dame 2459, Ursuline 1845",2009-01-08,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
176,22756,"Seton 2634, McAuley 2338",2009-01-08,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
