,zip_code,median_income
30704,44167,99555
30728,44531,71851
30730,44473,71854
30745,43211,28734
30748,43615,28753
30767,44410,28341
30789,44406,48610
30790,44118,48614
30793,45776,48624
30851,43438,58222
30852,44318,58223
30888,43769,89110
30895,44167,89833
30904,45833,89060
30937,43558,37357
30945,43628,57262
30959,45004,90029
31017,43333,77853
31083,44236,6607
31109,43197,6380
31131,43750,67553
31139,43750,67051
31146,44000,67511
31150,45781,67669
31158,44619,67860
31184,44195,37166
31196,43077,57748
31212,44167,57738
31264,44438,54896
31281,45250,35574
31298,45096,28748
31299,45351,28754
31310,44394,61606
31341,45741,13329
31346,46000,61338
31355,43485,35601
31356,45000,35610
31358,45677,35646
31366,44969,35769
31367,43661,35776
31393,44064,98433
31416,45257,46985
31420,44750,46991
31428,45625,56737
31432,44375,56569
31433,44881,56628
31450,45288,56144
31463,44984,65712
31464,44556,65717
31505,44892,65608
31546,43974,56136
31570,43125,56626
31581,43750,96107
31585,44550,96134
31595,46000,79501
31618,45625,47862
31629,45446,98586
31658,44144,12078
31663,45800,12122
31681,45714,12843
31691,45722,95427
31821,43917,35978
31860,44494,30258
31868,43194,13690
31882,44466,13905
31899,45000,99649
31922,43246,61074
31936,45836,61944
31948,45103,49858
31956,45819,49942
31957,45052,49946
31959,44643,49958
31960,45443,49646
31976,45714,56535
31998,43125,38050
32009,43688,72473
32034,45445,59873
32052,43750,59066
32142,45630,12701
32206,44530,15074
32219,45036,64468
32229,45625,64745
32242,44598,64402
32256,43750,64456
32257,43563,64471
32326,44196,77067
32360,43673,38544
32375,45000,58416
32379,44798,30559
32384,44938,30577
32408,44016,12910
32415,44722,12979
32418,43250,12194
32428,45179,54536
32429,45000,54554
32436,44250,99841
32441,45386,99775
32455,45439,23947
32456,43750,23958
32479,45427,75116
32505,43864,95415
32549,43568,7050
32566,44832,7055
32568,45222,7105
32569,44898,7111
32640,44605,50441
32653,43750,50559
32674,44392,30093
32684,43902,30624
32695,44892,30630
32697,43645,30643
32721,43281,64493
32737,43906,78332
32768,43750,51544
32876,45500,71940
32880,45357,71029
32881,45156,71032
32892,44783,54655
32913,44638,54495
32988,43779,20032
33003,45234,32431
33004,44643,32445
33033,44538,60612
33035,43642,60617
33038,45632,60626
33063,43125,26208
33074,43164,26104
33092,43698,26241
33116,45000,16627
