,zip_code,median_income
7473,44938,27857
7487,44615,54664
7511,44205,54566
7613,44179,92586
7665,43385,97344
7666,43594,97368
7700,44540,97403
7703,44904,97441
7816,43659,30641
7837,44695,70733
7862,43419,61866
7902,43542,60910
7910,43372,60629
7950,45500,49945
7955,44009,49935
7984,45270,83849
7987,44678,79512
8009,44118,36785
8013,43942,48853
8021,43833,48221
8038,45488,48604
8041,43470,48629
8063,45262,43756
8130,44036,48732
8131,45543,48733
8132,45985,48740
8140,43438,99359
8170,44040,43731
8184,44659,43337
8199,45827,2115
8227,43824,97539
8228,45771,97624
8243,45294,97862
8246,43750,97904
8270,46000,16210
8299,44167,4735
8313,45625,4346
8331,44875,49338
8356,44432,17272
8366,45114,68815
8368,43864,68853
8372,45962,68935
8403,46000,43142
8430,45714,18631
8440,45446,18455
8447,43181,42240
8458,45503,85929
8462,44867,85120
8476,45740,42330
8491,43907,15221
8503,43333,16665
8571,43500,30538
8573,45938,30562
8590,44547,30354
8608,45469,31790
8612,43654,31012
8613,43921,31014
8616,45125,31035
8639,44097,45771
8693,43174,40177
8698,44786,40045
8705,43305,40505
8720,45164,70392
8733,43000,29104
8794,45417,16245
8819,44864,47260
8827,44725,47374
8829,45889,42206
8832,45655,42261
8837,44706,42410
8838,45466,42431
8840,44000,42202
8848,43333,66725
8859,44250,68777
8877,43705,68939
8892,43750,68323
8898,43077,68724
8916,44969,27507
8923,45221,27805
8930,45955,27320
8939,43399,27864
8941,44396,24105
8947,44536,24102
8956,44081,24230
9101,43558,63552
9128,45170,63945
9148,43125,97147
9164,45933,97633
9176,45163,97396
9208,44215,92201
9230,44129,92411
9284,43525,1022
9291,44291,1151
9310,45550,61364
9315,45556,27824
9316,43683,27846
9317,43842,27855
9324,45154,27521
9357,45417,27942
9376,43306,98844
9377,44632,98849
9404,44167,92220
9422,44076,79754
9426,45625,79567
9442,45956,79336
9472,44444,49255
9477,45281,48742
9512,43527,34956
9513,43851,34972
9526,45125,34606
9537,43767,49764
9556,45313,49922
9568,43971,49765
9569,44219,49766
9608,44375,99561
9650,44767,2558
9718,43750,16372
9762,45709,49421
9775,45000,40060
9782,43385,40351
9786,43596,40437
9803,45743,40701
9812,45089,81055
9894,43567,85006
9896,45492,85033
9904,45000,85610
9917,45754,85035
9924,44792,85342
9931,45654,85616
10008,43833,97410
10045,45156,22469
10082,45341,31315
10095,45185,75478
10104,45375,75641
10142,44298,41101
10172,44632,70788
10197,45000,70031
10199,43788,70062
10204,43125,37339
10206,45865,37351
10217,45603,37650
10258,43375,64625
10266,45441,64748
10269,44357,64801
10274,44199,64844
10280,43477,42408
10282,43819,42456
10311,43084,42728
10313,45625,42753
10343,43543,86322
10362,44904,86331
10383,44063,18614
10397,44792,24602
10412,45978,24579
10484,44261,30148
10490,44076,30223
10497,45588,30274
10506,43232,36912
10516,44206,36507
10549,45278,23004
10586,44583,66041
10599,45498,87301
10604,43125,87327
10635,43520,67203
10639,45859,67356
10641,45854,67550
10657,43750,67648
10659,44674,67675
10663,44286,67744
10668,43359,67863
10731,43646,90033
10763,45455,79379
10775,43822,92225
10783,45511,92284
10799,45690,3597
10920,45294,49776
10926,45966,49872
10930,45673,49947
