,Total,Date,Year,Gender,Domain,Title,MatchID,Name,Score
0,Goshen 1961,2012-11-19,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57808,Goshen,1961
1, Milford 1907,2012-11-19,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57808, Milford,1907
2,Middletown 2466,2012-11-19,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57809,Middletown,2466
3, Loveland 2112,2012-11-19,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57809, Loveland,2112
4,St. Ursaline 1731,2012-11-20,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,59408,St. Ursaline,1731
5, Walnut Hills 1679,2012-11-20,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,59408, Walnut Hills,1679
6,Milford 2084,2012-11-26,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57810,Milford,2084
7, Turpin 1917,2012-11-26,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57810, Turpin,1917
8,Glen Este 2486,2012-11-26,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57811,Glen Este,2486
9, Amelia 1716,2012-11-26,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57811, Amelia,1716
10,Loveland 2085,2012-11-27,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57813,Loveland,2085
11, Kings 1613,2012-11-27,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57813, Kings,1613
12,Glen Este 2581,2012-11-27,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57812,Glen Este,2581
13, Wilmington 1739,2012-11-27,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57812, Wilmington,1739
14,Milford 1835,2012-11-28,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57814,Milford,1835
15, Turpin 1559,2012-11-28,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57814, Turpin,1559
16,Walnut Hills 1976,2012-11-28,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,59409,Walnut Hills,1976
17, Summit Country Day 1703,2012-11-28,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,59409, Summit Country Day,1703
18,Loveland 2215,2012-11-29,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57815,Loveland,2215
19, Kings 1575,2012-11-29,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57815, Kings,1575
20,Lakota West 1842,2012-12-03,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,61637,Lakota West,1842
21, Turpin 1511,2012-12-03,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,61637, Turpin,1511
22,Milford 1904,2012-12-03,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57816,Milford,1904
23, Walnut Hills 1787,2012-12-03,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57816, Walnut Hills,1787
24,Kings 1713,2012-12-03,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57817,Kings,1713
25, Anderson 1659,2012-12-03,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57817, Anderson,1659
26,Glen Este 2472,2012-12-03,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57818,Glen Este,2472
27, Loveland 2164,2012-12-03,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57818, Loveland,2164
28,Turpin 1847,2012-12-04,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,61740,Turpin,1847
29, Roger Bacon 1679,2012-12-04,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,61740, Roger Bacon,1679
30,Anderson 1723,2012-12-04,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57819,Anderson,1723
31, Kings 1654,2012-12-04,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57819, Kings,1654
32,Walnut Hills 2033,2012-12-05,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57820,Walnut Hills,2033
33, Milford 1879,2012-12-05,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57820, Milford,1879
34,Loveland 2348,2012-12-05,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57821,Loveland,2348
35, Glen Este 2307,2012-12-05,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57821, Glen Este,2307
36,Walnut Hills 1942,2012-12-10,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,59410,Walnut Hills,1942
37, Turpin 1878,2012-12-10,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,59410, Turpin,1878
38,Glen Este 2306,2012-12-10,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57825,Glen Este,2306
39, Kings 1853,2012-12-10,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57825, Kings,1853
40,Glen Este 2163,2012-12-11,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57826,Glen Este,2163
41, Kings 1599,2012-12-11,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57826, Kings,1599
42,Loveland 2046,2012-12-11,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57827,Loveland,2046
43, Anderson 1612,2012-12-11,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57827, Anderson,1612
44,Walnut Hills 1830,2012-12-12,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,59411,Walnut Hills,1830
45, Turpin 1787,2012-12-12,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,59411, Turpin,1787
46,Milford 1868,2012-12-12,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57828,Milford,1868
47, Amelia 1652,2012-12-12,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57828, Amelia,1652
48,Loveland 2215,2012-12-13,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57829,Loveland,2215
49, Anderson 1759,2012-12-13,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57829, Anderson,1759
50,Milford 2014,2012-12-17,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57831,Milford,2014
51, Anderson 1928,2012-12-17,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57831, Anderson,1928
52,Glen Este 2641,2012-12-17,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57832,Glen Este,2641
53, Turpin 1822,2012-12-17,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57832, Turpin,1822
54,Glen Este 2378,2012-12-18,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,58843,Glen Este,2378
55, Turpin 1865,2012-12-18,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,58843, Turpin,1865
56,Loveland 2178,2012-12-18,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,61977,Loveland,2178
57, Wilmington 1875,2012-12-18,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,61977, Wilmington,1875
58,Walnut Hills 1827,2012-12-18,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,59412,Walnut Hills,1827
59, Kings 1746,2012-12-18,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,59412, Kings,1746
60,Walnut Hills 1871,2012-12-19,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,59413,Walnut Hills,1871
61, Kings 1631,2012-12-19,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,59413, Kings,1631
62,Turpin 1733,2012-12-19,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,62001,Turpin,1733
63, Amelia 1457,2012-12-19,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,62001, Amelia,1457
64,Milford 1991,2012-12-19,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57834,Milford,1991
65, Anderson 1766,2012-12-19,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57834, Anderson,1766
66,Glen Este 2267,2012-12-19,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,62081,Glen Este,2267
67, Mercy 2261,2012-12-19,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,62081, Mercy,2261
68,Glen Este 2560,2013-01-03,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57836,Glen Este,2560
69, Northwest 2390,2013-01-03,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57836, Northwest,2390
70,Loveland 2193,2013-01-03,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57837,Loveland,2193
71, Hamilton 2060,2013-01-03,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57837, Hamilton,2060
72,Milford 2042,2013-01-07,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,58925,Milford,2042
73, Loveland 1978,2013-01-07,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,58925, Loveland,1978
74,Anderson 1919,2013-01-07,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,62034,Anderson,1919
75, Turpin 1789,2013-01-07,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,62034, Turpin,1789
76,Glen Este 2417,2013-01-07,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57839,Glen Este,2417
77, Walnut Hills 1784,2013-01-07,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57839, Walnut Hills,1784
78,Turpin 1868,2013-01-08,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,62035,Turpin,1868
79, Anderson 1640,2013-01-08,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,62035, Anderson,1640
80,Lebanon 2184,2013-01-08,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57840,Lebanon,2184
81, Kings 1755,2013-01-08,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57840, Kings,1755
82,Loveland 2114,2013-01-08,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57841,Loveland,2114
83, Reading 1362,2013-01-08,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57841, Reading,1362
84,McAuley 2281,2013-01-09,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57842,McAuley,2281
85, Loveland 2036,2013-01-09,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57842, Loveland,2036
86,Glen Este 2252,2013-01-09,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57843,Glen Este,2252
87, Walnut Hills 2032,2013-01-09,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57843, Walnut Hills,2032
88,Glen Este 2258,2013-01-10,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57844,Glen Este,2258
89, Hamilton 1737,2013-01-10,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57844, Hamilton,1737
90,Loveland 2142,2013-01-10,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57846,Loveland,2142
91, Milford 2050,2013-01-10,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57846, Milford,2050
92,Goshen 1834,2013-01-11,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,62031,Goshen,1834
93, Anderson 1741,2013-01-11,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,62031, Anderson,1741
94,Milford 2067,2013-01-14,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,61797,Milford,2067
95, Mt. Notre Dame 1983,2013-01-14,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,61797, Mt. Notre Dame,1983
96,Loveland 2220,2013-01-14,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57852,Loveland,2220
97, Turpin 1910,2013-01-14,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57852, Turpin,1910
98,Turpin 1893,2013-01-15,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,62198,Turpin,1893
99, Deer Park 1845,2013-01-15,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,62198, Deer Park,1845
100,Anderson 1853,2013-01-15,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,62038,Anderson,1853
101, Walnut Hills 1735,2013-01-15,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,62038, Walnut Hills,1735
102,Glen Este 2551,2013-01-15,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,58845,Glen Este,2551
103, Fairfield 2431,2013-01-15,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,58845, Fairfield,2431
104,Milford 2087,2013-01-15,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57853,Milford,2087
105, Kings 1633,2013-01-15,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57853, Kings,1633
106,Walnut Hills 1800,2013-01-16,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,62039,Walnut Hills,1800
107, Anderson 1794,2013-01-16,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,62039, Anderson,1794
108,Milford 1829,2013-01-16,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57855,Milford,1829
109, Kings 1718,2013-01-16,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57855, Kings,1718
110,Goshen 1964,2013-01-17,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,62032,Goshen,1964
111, Anderson 1763,2013-01-17,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,62032, Anderson,1763
112,Loveland 2254,2013-01-17,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57856,Loveland,2254
113, Turpin 1987,2013-01-17,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57856, Turpin,1987
114,Glen Este 2364,2013-01-22,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57860,Glen Este,2364
115, Milford 1979,2013-01-22,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57860, Milford,1979
116,Turpin 1916,2013-01-22,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57861,Turpin,1916
117, Kings 1764,2013-01-22,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57861, Kings,1764
118,Loveland 2233,2013-01-23,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,59414,Loveland,2233
119, Walnut Hills 1843,2013-01-23,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,59414, Walnut Hills,1843
120,Turpin 2160,2013-01-23,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57862,Turpin,2160
121, Kings 1660,2013-01-23,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57862, Kings,1660
122,Glen Este 2350,2013-01-23,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57863,Glen Este,2350
123, Milford 1909,2013-01-23,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57863, Milford,1909
124,Kings 1704,2013-01-24,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57845,Kings,1704
125, Lakota East 1689,2013-01-24,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57845, Lakota East,1689
126,Loveland 2150,2013-01-24,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57865,Loveland,2150
127, Walnut Hills 1710,2013-01-24,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57865, Walnut Hills,1710
128,Goshen 1761,2013-01-28,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57866,Goshen,1761
129, Milford 1713,2013-01-28,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57866, Milford,1713
130,Glen Este 2368,2013-01-28,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57867,Glen Este,2368
131, Anderson 1897,2013-01-28,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57867, Anderson,1897
132,Walnut Hills 1751,2013-01-28,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,59415,Walnut Hills,1751
133, Lakota East 1534,2013-01-28,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,59415, Lakota East,1534
134,Clinton Massie 1789,2013-01-28,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57868,Clinton Massie,1789
135, Kings 1725,2013-01-28,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57868, Kings,1725
136,Loveland 2091,2013-01-29,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,62134,Loveland,2091
137, Harrison 1976,2013-01-29,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,62134, Harrison,1976
138,Walnut Hills 1847,2013-01-29,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,59416,Walnut Hills,1847
139, Winton Woods 1804,2013-01-29,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,59416, Winton Woods,1804
140,Glen Este 2506,2013-01-29,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57869,Glen Este,2506
141, Anderson 1708,2013-01-29,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57869, Anderson,1708
142,Wilmington 1828,2013-01-29,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57870,Wilmington,1828
143, Kings 1720,2013-01-29,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57870, Kings,1720
144,Walnut Hills 1832,2013-01-30,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,59417,Walnut Hills,1832
145, Deer Park 1779,2013-01-30,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,59417, Deer Park,1779
146,Turpin 1948,2013-01-30,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,62375,Turpin,1948
147, Norwood 1800,2013-01-30,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,62375, Norwood,1800
148,Milford 2097,2013-01-31,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57871,Milford,2097
149, Sycamore 1574,2013-01-31,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57871, Sycamore,1574
150,Colerain 2419,2013-02-04,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57872,Colerain,2419
151, Milford 1890,2013-02-04,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57872, Milford,1890
152,Turpin 2000,2013-02-04,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,62376,Turpin,2000
153, Hamilton 1960,2013-02-04,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,62376, Hamilton,1960
154,Mount Notre Dame 2055,2013-02-05,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,59418,Mount Notre Dame,2055
155, Walnut Hills 2044,2013-02-05,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,59418, Walnut Hills,2044
156,Kings 1663,2013-02-05,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57873,Kings,1663
157, Clinton Massie 1635,2013-02-05,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57873, Clinton Massie,1635
158,Loveland 1805,2013-02-05,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57874,Loveland,1805
159, Mt. Healthy 1543,2013-02-05,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57874, Mt. Healthy,1543
160,Princeton 2106,2013-02-06,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57875,Princeton,2106
161, Milford 1920,2013-02-06,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57875, Milford,1920
162,Wilmington 1804,2013-02-06,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57876,Wilmington,1804
163, Kings 1563,2013-02-06,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57876, Kings,1563
164,Turpin 2074,2013-02-06,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,62377,Turpin,2074
165, Goshen 1832,2013-02-06,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,62377, Goshen,1832
166,Loveland 2212,2013-02-06,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57877,Loveland,2212
167, Lakota East 1743,2013-02-06,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57877, Lakota East,1743
168,Turpin 2046,2013-02-11,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,62378,Turpin,2046
169, St. Ursula 1710,2013-02-11,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,62378, St. Ursula,1710
170,Mason 2223,2013-02-12,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57879,Mason,2223
171, Kings 1723,2013-02-12,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57879, Kings,1723
172,Milford 1823,2013-11-18,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,69118,Milford,1823
173, Sycamore 1286,2013-11-18,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,69118, Sycamore,1286
174,St. Urusla 1777,2013-11-18,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,68674,St. Urusla,1777
175, Walnut Hills 1629,2013-11-18,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,68674, Walnut Hills,1629
176,Glen Este 2563,2013-11-19,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,67243,Glen Este,2563
177, Amelia 1980,2013-11-19,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,67243, Amelia,1980
178,Goshen 1940,2013-11-19,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,70253,Goshen,1940
179, Anderson 1582,2013-11-19,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,70253, Anderson,1582
180,Loveland 1947,2013-11-19,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,68947,Loveland,1947
181, Kings 1799,2013-11-19,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,68947, Kings,1799
182,Walnut Hills 1720,2013-11-20,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,68675,Walnut Hills,1720
183, Deer Park 1492,2013-11-20,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,68675, Deer Park,1492
184,Milford 1990,2013-11-20,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,69922,Milford,1990
185, Goshen 1840,2013-11-20,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,69922, Goshen,1840
186,Milford 1836,2013-11-25,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,68439,Milford,1836
187, Turpin 1781,2013-11-25,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,68439, Turpin,1781
188,Glen Este 2422,2013-11-25,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,70255,Glen Este,2422
189, Anderson 1635,2013-11-25,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,70255, Anderson,1635
190,Glen Este 2612,2013-11-26,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,70256,Glen Este,2612
191, Anderson 1943,2013-11-26,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,70256, Anderson,1943
192,Turpin 1691,2013-11-26,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,68440,Turpin,1691
193, Milford 1676,2013-11-26,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,68440, Milford,1676
194,Walnut Hills 1724,2013-11-26,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,68676,Walnut Hills,1724
195, Norwood 1632,2013-11-26,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,68676, Norwood,1632
196,Loveland 2111,2013-11-26,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,68948,Loveland,2111
197, Kings 1828,2013-11-26,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,68948, Kings,1828
198,Milford 1861,2013-12-02,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,68677,Milford,1861
199, Walnut Hills 1633,2013-12-02,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,68677, Walnut Hills,1633
200,Anderson 1876,2013-12-02,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,69904,Anderson,1876
201, Kings 1727,2013-12-02,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,69904, Kings,1727
202,Glen Este 2357,2013-12-02,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,67247,Glen Este,2357
203, Loveland 2160,2013-12-02,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,67247, Loveland,2160
204,Kings 1882,2013-12-03,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,69905,Kings,1882
205, Anderson 1634,2013-12-03,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,69905, Anderson,1634
206,Turpin 1831,2013-12-03,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,68441,Turpin,1831
207, Withrow 1660,2013-12-03,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,68441, Withrow,1660
208,Milford 1919,2013-12-04,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,68678,Milford,1919
209, Walnut Hills 1835,2013-12-04,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,68678, Walnut Hills,1835
210,Turpin 1942,2013-12-04,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,68442,Turpin,1942
211, Lakota East 1743,2013-12-04,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,68442, Lakota East,1743
212,Colerain 2510,2013-12-05,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,69120,Colerain,2510
213, Milford 1982,2013-12-05,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,69120, Milford,1982
214,Glen Este 2485,2013-12-05,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,71363,Glen Este,2485
215, Loveland 2211,2013-12-05,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,71363, Loveland,2211
216,Turpin 1927,2013-12-09,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,68443,Turpin,1927
217, Walnut Hills 1562,2013-12-09,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,68443, Walnut Hills,1562
218,Milford 1892,2013-12-09,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,69121,Milford,1892
219, Withrow 1250,2013-12-09,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,69121, Withrow,1250
220,Glen Este 2436,2013-12-09,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,67249,Glen Este,2436
221, Kings 1912,2013-12-09,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,67249, Kings,1912
222,Loveland 2136,2013-12-10,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,69906,Loveland,2136
223, Anderson 1920,2013-12-10,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,69906, Anderson,1920
224,Turpin 2041,2013-12-11,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,68444,Turpin,2041
225, Walnut Hills 1903,2013-12-11,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,68444, Walnut Hills,1903
226,Mason 2087,2013-12-11,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,69122,Mason,2087
227, Milford 1941,2013-12-11,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,69122, Milford,1941
228,Kings 1815,2013-12-11,2013-2014,215,https://eccsports.com/,Eastern Cincinnati Conference,68976,Kings,1815
